企业名称,工作地址,招聘主页,经纬度
腾宇融资租赁（广州）有限公司,广州天河区沙河华夏路49号,https://www.lagou.com/jobs/3810370.html,"113.32746500023715,23.132048011150108"
广州博鳌纵横网络科技有限公司,广州萝岗区科学大道231233号A9A10栋,https://www.lagou.com/jobs/4509187.html,"113.42236948704614,23.17259957011846"
美的集团股份有限公司,广州番禺区广州南站美的总部大楼,https://www.lagou.com/jobs/4496004.html,"113.3039306005112,23.050723696301475"
广州德惟科技有限公司,广州天河区五山华景新城北路76号,https://www.lagou.com/jobs/4751355.html,"113.36755441054008,23.145832786636564"
肇庆市华盈体育文化发展有限公司,广州天河区珠江新城广州市天河区珠江新城兴民路222号天盈广场东塔3103,https://www.lagou.com/jobs/4040259.html,"113.33948706419528,23.12195452777566"
广州云软数据科技有限公司,广州荔湾区1850创意园,https://www.lagou.com/jobs/4398905.html,"113.24951397999024,23.102214948557265"
广东瑞亚传媒发展有限公司,广州荔湾区芳村花地大道南187号A3栋2001(五行互联网健康产业园),https://www.lagou.com/jobs/3743598.html,"113.2348774966598,23.06322154471793"
广州市悄悄科技有限公司,广州天河区珠江新城,https://www.lagou.com/jobs/3089980.html,"113.33349096564702,23.125725693998607"
广州市丰申网络科技有限公司,广州天河区珠江新城珠江新城金穗路1号邦华环球广场（近珠江新城/五羊邨地铁站）,https://www.lagou.com/jobs/4692381.html,"113.32284621962856,23.130554165948652"
信必优(深圳)信息技术有限公司,广州市市市天河区天河城天河区太古汇,https://www.lagou.com/jobs/3542302.html,"113.33912451887123,23.14007345064082"
广州市漫灵软件有限公司,广州天河区棠下棠下荷光三横路盛达商务园D座,https://www.lagou.com/jobs/4535828.html,"113.38211733792046,23.138759330531812"
广州亚美信息科技有限公司,广州天河区五山翰景路1号金星大厦6楼,https://www.lagou.com/jobs/4831669.html,"113.35367095336247,23.14978239732175"
广东以大供应链管理有限公司,广州天河区元岗元岗路310号智汇parkB栋,https://www.lagou.com/jobs/4415815.html,"113.34801799763753,23.180424741621675"
广州市莱麦互联网科技有限公司,广州天河区棠下天园街道中山大道建工路13，15号503,https://www.lagou.com/jobs/2028584.html,"113.37875351436315,23.12884680105434"
美的集团股份有限公司,广州番禺区美的总部,https://www.lagou.com/jobs/4117636.html,"113.41679952964883,22.93459079579793"
广州富力地产股份有限公司,广州天河区华夏路10号,https://www.lagou.com/jobs/4876324.html,"113.32829065978028,23.123088424840574"
